Category,Name,Version,License,License URL,Usage,Notes
npm,@choochmeque/tauri-plugin-sharekit-api,0.4.0-rc.5,MIT,https://spdx.org/licenses/MIT.html,runtime,Frontend Tauri share plugin
npm,@exameow/shared,workspace:*,Proprietary,,runtime,Self-developed workspace package
npm,@heroicons/vue,^2.2.0,MIT,https://github.com/tailwindlabs/heroicons/blob/master/LICENSE,runtime,SVG icon components (MIT)
npm,@tauri-apps/api,^2.11.1,Apache-2.0,https://github.com/tauri-apps/tauri/blob/dev/core/tauri/LICENSE.spdx,runtime,Tauri frontend API
npm,@tauri-apps/plugin-dialog,^2.7.1,MIT,https://github.com/tauri-apps/plugins-workspace/blob/v2/plugins/dialog/LICENSE,runtime,Tauri dialog plugin
npm,@tauri-apps/plugin-fs,^2.2.0,MIT,https://github.com/tauri-apps/plugins-workspace/blob/v2/plugins/fs/LICENSE,runtime,Tauri filesystem plugin
npm,@tauri-apps/plugin-opener,^2.5.4,MIT,https://github.com/tauri-apps/plugins-workspace/blob/v2/plugins/opener/LICENSE,runtime,Tauri opener plugin
npm,mammoth,^1.12.0,BSD-2-Clause,https://github.com/mwilliamson/mammoth.js/blob/master/LICENSE,runtime,DOCX to HTML conversion
npm,onnxruntime-web,^1.27.0,MIT,https://github.com/microsoft/onnxruntime/blob/main/LICENSE,runtime,ONNX inference engine
npm,pdfjs-dist,^6.1.200,Apache-2.0,https://github.com/nicbarker/pdfjs-dist/blob/master/LICENSE,runtime,Mozilla PDF.js distribution
npm,pinia,^3.0.4,MIT,https://github.com/vuejs/pinia/blob/main/LICENSE,runtime,Vue state management
npm,ppu-paddle-ocr,^6.1.0,MIT,https://github.com/PT-Perkasa-Pilar-Utama/ppu-paddle-ocr/blob/main/LICENSE,runtime,In-browser PaddleOCR
npm,vue,^3.5.38,MIT,https://github.com/vuejs/core/blob/main/LICENSE,runtime,Frontend framework
npm,vue-router,^5.1.0,MIT,https://github.com/vuejs/router/blob/main/LICENSE,runtime,Vue Router
npm,xlsx,^0.18.5,Apache-2.0,https://github.com/SheetJS/sheetjs/blob/master/LICENSE,runtime,Spreadsheet export/parse
npm,@tauri-apps/cli,^2.11.4,Apache-2.0,https://github.com/tauri-apps/tauri/blob/dev/crates/tauri-cli/LICENSE.spdx,dev,Build tool
npm,@tsconfig/node24,^24.0.4,MIT,https://github.com/tsconfig/bases/blob/main/LICENSE,dev,TypeScript config
npm,@types/node,^24.13.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,dev,Node.js type definitions
npm,@vitejs/plugin-vue,^6.0.7,MIT,https://github.com/vitejs/vite-plugin-vue/blob/main/LICENSE,dev,Vite Vue plugin
